Source,Target,Type,Id,Label,timeset,Weight
24457357,12545133,Directed,333,,,1
24457357,13678754,Directed,334,,,1
24457357,19745720,Directed,335,,,1
24457357,27835117,Directed,336,,,1
24457357,29560623,Directed,337,,,1
24457357,31918619,Directed,338,,,1
24457357,48920357,Directed,339,,,1
24457357,55859088,Directed,340,,,1
24457357,57578133,Directed,341,,,1
24457357,58591324,Directed,342,,,1
24457357,69615977,Directed,343,,,1
24457357,87659298,Directed,344,,,1
24457357,103643300,Directed,345,,,1
24457357,112323601,Directed,346,,,1
24457357,117257470,Directed,347,,,1
24457357,123135073,Directed,348,,,1
24457357,138662527,Directed,349,,,1
24457357,169281899,Directed,350,,,1
24457357,319946857,Directed,351,,,1
24457357,321380523,Directed,352,,,1
24457357,321776160,Directed,353,,,1
24968494,8443582,Directed,354,,,1
24968494,13570592,Directed,355,,,1
24968494,13901621,Directed,356,,,1
24968494,15214765,Directed,357,,,1
24968494,17604614,Directed,358,,,1
24968494,29318531,Directed,359,,,1
24968494,30637530,Directed,360,,,1
24968494,49737902,Directed,361,,,1
24968494,54719519,Directed,362,,,1
24968494,54805716,Directed,363,,,1
24968494,84899856,Directed,364,,,1
24968494,135539293,Directed,365,,,1
24968494,145599925,Directed,366,,,1
24968494,160314044,Directed,367,,,1
24968494,348985678,Directed,368,,,1
27362559,13570592,Directed,369,,,1
27362559,13901621,Directed,370,,,1
27362559,19528233,Directed,371,,,1
27362559,29318531,Directed,372,,,1
27362559,29577094,Directed,373,,,1
27362559,33291061,Directed,374,,,1
27362559,36013631,Directed,375,,,1
27362559,38375746,Directed,376,,,1
27362559,49737902,Directed,377,,,1
27362559,54719519,Directed,378,,,1
27362559,54805716,Directed,379,,,1
27362559,133009701,Directed,380,,,1
27362559,138296578,Directed,381,,,1
27362559,143018151,Directed,382,,,1
27362559,144977816,Directed,383,,,1
27362559,145599925,Directed,384,,,1
27362559,160314044,Directed,385,,,1
27835117,606935,Directed,386,,,1
27835117,1687066,Directed,387,,,1
27835117,1895348,Directed,388,,,1
